"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Christian McCaffrey (SF)","110","553","5.0","65","9","7","23","27","177","7.7","2","1","6","148.0","24.7","100.0%"
"2","Raheem Mostert (MIA)","75","429","5.7","49","8","9","18","20","145","8.1","2","1","6","139.4","23.2","97.6%"
"3","Travis Etienne Jr. (JAC)","113","451","4.0","35","6","5","21","24","172","8.2","0","0","6","115.3","19.2","99.8%"
"4","Kyren Williams (LAR)","97","456","4.7","31","4","6","13","24","105","8.1","1","0","6","111.1","18.5","91.0%"
"5","Zack Moss (IND)","96","466","4.9","56","7","4","14","17","110","7.9","1","0","5","103.6","20.7","84.3%"
"6","De'Von Achane (MIA)","38","460","12.1","76","17","5","9","11","67","7.4","2","1","4","101.7","25.4","92.0%"
"7","D'Andre Swift (PHI)","86","452","5.3","43","5","2","23","27","115","5.0","1","1","6","95.7","16.0","97.4%"
"8","Bijan Robinson (ATL)","80","401","5.0","38","4","0","26","32","189","7.3","2","1","6","95.0","15.8","100.0%"
"9","Tony Pollard (DAL)","96","370","3.9","31","4","2","25","29","176","7.0","0","1","6","91.6","15.3","99.8%"
"10","Kenneth Walker III (SEA)","83","345","4.2","36","5","6","11","13","100","9.1","0","0","5","91.5","18.3","99.0%"
"11","Josh Jacobs (LV)","107","312","2.9","24","1","2","25","35","209","8.4","0","0","6","89.1","14.9","99.8%"
"12","Derrick Henry (TEN)","98","425","4.3","63","6","3","11","13","117","10.6","0","0","6","87.3","14.6","99.9%"
"13","Isiah Pacheco (KC)","87","387","4.4","48","5","3","17","19","135","7.9","0","0","6","87.2","14.5","97.1%"
"14","David Montgomery (DET)","94","385","4.1","42","3","6","6","10","66","11.0","0","1","5","85.1","17.0","96.0%"
"15","Brian Robinson Jr. (WAS)","77","302","3.9","27","2","3","11","13","113","10.3","2","0","6","84.5","14.1","90.9%"
"16","Breece Hall (NYJ)","66","426","6.5","83","12","2","13","18","113","8.7","0","0","6","78.9","13.2","96.7%"
"17","Alexander Mattison (MIN)","82","320","3.9","17","0","0","18","28","104","5.8","2","1","6","70.4","11.7","93.5%"
"18","James Cook (BUF)","75","363","4.8","36","4","1","14","18","140","10.0","0","0","6","70.3","11.7","95.9%"
"19","Joe Mixon (CIN)","96","366","3.8","22","1","1","16","21","104","6.5","0","0","6","69.0","11.5","98.4%"
"20","Jerome Ford (CLE)","67","270","4.0","69","5","1","12","15","84","7.0","2","1","5","65.4","13.1","86.7%"
"21","Rhamondre Stevenson (NE)","78","234","3.0","15","0","2","17","24","111","6.5","0","0","6","63.5","10.6","96.1%"
"22","James Conner (ARI)","68","364","5.4","35","6","2","8","10","30","3.8","0","0","5","59.4","11.9","87.5%"
"23","Alvin Kamara (NO)","52","199","3.8","13","0","1","23","25","86","3.7","0","0","3","57.5","19.2","98.3%"
"24","Rachaad White (TB)","70","232","3.3","13","0","1","16","17","98","6.1","0","1","5","53.0","10.6","92.2%"
"25","Jaleel McLaughlin (DEN)","29","190","6.6","38","5","1","9","10","58","6.4","2","0","6","51.8","8.6","42.0%"
"26","Khalil Herbert (CHI)","51","272","5.3","34","4","0","10","18","83","8.3","1","1","5","51.5","10.3","63.4%"
"27","Dameon Pierce (HOU)","97","281","2.9","15","0","1","9","12","84","9.3","0","0","6","51.5","8.6","91.6%"
"28","Saquon Barkley (NYG)","53","207","3.9","34","2","1","13","16","46","3.5","1","0","3","50.3","16.8","100.0%"
"29","Jaylen Warren (PIT)","34","124","3.6","18","0","0","21","25","166","7.9","0","0","5","50.0","10.0","69.1%"
"30","Tyjae Spears (TEN)","31","171","5.5","22","1","1","15","20","111","7.4","0","0","6","49.2","8.2","41.4%"
"31","Chuba Hubbard (CAR)","54","242","4.5","21","1","1","13","15","59","4.5","0","0","6","49.1","8.2","50.9%"
"32","Tyler Allgeier (ATL)","75","242","3.2","22","1","2","6","10","32","5.3","0","0","6","47.4","7.9","57.2%"
"33","Miles Sanders (CAR)","61","190","3.1","15","0","1","15","24","81","5.4","0","2","5","44.1","8.8","84.7%"
"34","Justice Hill (BAL)","37","150","4.1","15","0","3","10","10","25","2.5","0","1","5","43.5","8.7","33.8%"
"35","Ezekiel Elliott (NE)","49","193","3.9","14","0","1","13","16","59","4.5","0","1","6","42.2","7.0","43.7%"
"36","Gus Edwards (BAL)","72","282","3.9","20","1","1","3","4","13","4.3","0","0","6","40.5","6.8","71.2%"
"37","Samaje Perine (DEN)","24","88","3.7","12","0","0","17","20","184","10.8","0","2","6","40.2","6.7","30.8%"
"38","Jahmyr Gibbs (DET)","39","179","4.6","21","1","0","14","18","70","5.0","0","0","4","38.9","9.7","97.8%"
"39","Javonte Williams (DEN)","48","190","4.0","18","0","0","11","15","51","4.6","0","0","5","37.1","7.4","87.3%"
"40","Latavius Murray (BUF)","31","128","4.1","29","1","2","7","8","49","7.0","0","0","6","36.7","6.1","21.2%"
"41","Austin Ekeler (LAC)","30","144","4.8","55","4","1","8","11","82","10.3","0","0","2","36.6","18.3","100.0%"
"42","Jerick McKinnon (KC)","7","21","3.0","10","0","0","12","17","91","7.6","2","0","6","35.2","5.9","36.3%"
"43","Antonio Gibson (WAS)","16","69","4.3","13","0","0","13","17","133","10.2","1","2","6","35.2","5.9","46.1%"
"44","Roschon Johnson (CHI)","25","122","4.9","29","1","1","11","12","58","5.3","0","0","5","35.0","7.0","47.2%"
"45","Najee Harris (PIT)","63","247","3.9","24","3","0","5","9","37","7.4","0","0","5","33.4","6.7","92.0%"
"46","AJ Dillon (GB)","64","194","3.0","14","0","1","3","6","25","8.3","0","0","5","30.9","6.2","69.9%"
"47","Matt Breida (NYG)","34","95","2.8","8","0","1","10","11","49","4.9","0","0","6","30.4","5.1","7.5%"
"48","Joshua Kelley (LAC)","58","209","3.6","22","1","1","2","5","7","3.5","0","0","5","29.6","5.9","23.7%"
"49","Kenneth Gainwell (PHI)","41","141","3.4","16","0","0","9","12","43","4.8","0","0","5","29.4","5.9","27.3%"
"50","Aaron Jones (GB)","14","59","4.2","9","0","1","3","6","82","27.3","1","0","2","29.1","14.6","97.4%"
"51","Devin Singletary (HOU)","39","153","3.9","17","0","0","5","7","29","5.8","0","0","6","27.4","4.6","24.9%"
"52","Rico Dowdle (DAL)","28","107","3.8","10","0","0","5","6","50","10.0","1","0","6","26.7","4.5","2.8%"
"53","Jordan Mason (SF)","21","117","5.6","26","1","2","1","2","13","13.0","0","0","5","26.0","5.2","14.7%"
"54","Clyde Edwards-Helaire (KC)","30","100","3.3","16","0","1","6","6","36","6.0","0","0","6","25.6","4.3","6.7%"
"55","Tony Jones Jr. (NO)","21","70","3.3","19","0","2","4","6","21","5.3","0","0","4","25.1","6.3","0.8%"
"56","Emari Demercado (ARI)","16","59","3.7","11","0","1","7","10","46","6.6","0","0","6","23.5","3.9","32.5%"
"57","Nick Chubb (CLE)","28","170","6.1","20","1","0","4","4","21","5.3","0","0","2","23.1","11.6","25.4%"
"58","Kareem Hunt (CLE)","22","72","3.3","16","0","1","5","6","46","9.2","0","0","3","22.8","7.6","72.4%"
"59","Dalvin Cook (NYJ)","39","109","2.8","10","0","0","9","9","46","5.1","0","1","6","22.5","3.8","42.7%"
"60","Cam Akers (MIN)","33","92","2.8","12","0","1","5","5","21","4.2","0","0","4","22.3","5.6","55.4%"
"61","Kendre Miller (NO)","24","73","3.0","10","0","0","7","8","71","10.1","0","0","4","21.4","5.4","6.4%"
"62","Salvon Ahmed (MIA)","12","47","3.9","10","0","1","6","11","39","6.5","0","0","4","20.6","5.2","6.8%"
"63","Zach Charbonnet (SEA)","23","109","4.7","15","0","0","6","9","36","6.0","0","0","5","20.5","4.1","34.3%"
"64","Craig Reynolds (DET)","24","89","3.7","19","0","1","3","3","26","8.7","0","0","5","20.5","4.1","10.6%"
"65","Damien Harris (BUF)","23","94","4.1","11","0","1","2","2","16","8.0","0","0","6","19.0","3.2","11.1%"
"66","Michael Carter (NYJ)","6","36","6.0","9","0","0","9","12","44","4.9","0","0","6","17.0","2.8","0.9%"
"67","Kyle Juszczyk (SF)","3","6","2.0","3","0","0","6","6","39","6.5","1","0","6","16.5","2.8","0.4%"
"68","Tank Bigsby (JAC)","18","43","2.4","9","0","2","1","3","6","6.0","0","1","6","15.9","2.7","9.9%"
"69","Jonathan Taylor (IND)","14","37","2.6","5","0","0","6","7","62","10.3","0","0","2","15.9","8.0","97.3%"
"70","Pierre Strong Jr. (CLE)","13","77","5.9","40","3","1","0","1","0","0","0","0","5","13.7","2.7","8.3%"
"71","Melvin Gordon III (BAL)","13","53","4.1","22","1","0","3","3","46","15.3","0","0","2","12.9","6.5","0.2%"
"72","D'Onta Foreman (CHI)","20","81","4.1","11","0","0","3","4","10","3.3","0","0","2","12.1","6.1","68.0%"
"73","J.K. Dobbins (BAL)","8","22","2.8","4","0","1","2","3","15","7.5","0","0","1","11.7","11.7","18.8%"
"74","Gary Brightwell (NYG)","9","19","2.1","5","0","0","5","7","47","9.4","0","0","4","11.6","2.9","0.7%"
"75","Ronnie Rivers (LAR)","13","57","4.4","9","0","0","4","4","18","4.5","0","0","6","11.5","1.9","0.8%"
"76","Ty Chandler (MIN)","8","42","5.3","15","0","0","4","5","31","7.8","0","0","6","11.3","1.9","1.1%"
"77","Ameer Abdullah (LV)","1","4","4.0","4","0","0","6","11","46","7.7","0","0","6","11.0","1.8","0.9%"
"78","Deuce Vaughn (DAL)","20","40","2.0","13","0","0","5","5","19","3.8","0","0","4","10.9","2.7","2.1%"
"79","Patrick Taylor Jr. (NE)","11","31","2.8","10","0","0","5","10","28","5.6","0","0","4","10.9","2.7","0.6%"
"80","Keaontay Ingram (ARI)","22","55","2.5","12","0","0","3","3","19","6.3","0","0","4","10.4","2.6","9.2%"
"81","Jamaal Williams (NO)","27","74","2.7","11","0","0","2","2","7","3.5","0","0","2","10.1","5.1","35.3%"
"82","Hunter Luepke (DAL)","3","13","4.3","9","0","1","1","1","12","12.0","0","0","6","9.5","1.6","0.0%"
"83","Chris Brooks (MIA)","15","94","6.3","52","5","0","0","0","0","0","0","0","3","9.4","3.1","0.6%"
"84","Alec Ingold (MIA)","2","0","0.0","0","0","0","3","3","57","19.0","0","0","6","8.7","1.5","0.1%"
"85","Boston Scott (PHI)","8","45","5.6","18","0","0","2","2","21","10.5","0","0","3","8.6","2.9","0.3%"
"86","Elijah Mitchell (SF)","18","49","2.7","18","0","0","3","4","2","0.7","0","0","3","8.1","2.7","27.7%"
"87","D'Ernest Johnson (JAC)","7","27","3.9","19","0","0","3","3","15","5.0","0","0","6","7.2","1.2","0.1%"
"88","Ty Montgomery II (NE)","2","7","3.5","7","0","0","4","9","23","5.8","0","0","6","7.0","1.2","0.2%"
"89","Trayveon Williams (CIN)","5","20","4.0","5","0","0","4","6","7","1.8","0","0","6","6.7","1.1","0.7%"
"90","Mike Boone (HOU)","2","15","7.5","11","0","0","3","4","18","6.0","0","0","5","6.3","1.3","0.0%"
"91","Zamir White (LV)","10","41","4.1","11","0","0","3","3","12","4.0","0","1","5","6.3","1.3","1.4%"
"92","Nick Bawden (NYJ)","1","1","1.0","1","0","1","0","0","0","0","0","0","6","6.1","1.0","0.0%"
"93","Isaiah Spiller (LAC)","9","24","2.7","6","0","0","2","2","15","7.5","0","0","4","5.9","1.5","0.3%"
"94","DeeJay Dallas (SEA)","5","14","2.8","8","0","0","3","4","11","3.7","0","0","5","5.5","1.1","0.9%"
"95","Damien Williams (ARI)","8","36","4.5","9","0","0","1","1","8","8.0","0","0","1","5.4","5.4","0.6%"
"96","Sean Tucker (TB)","15","23","1.5","7","0","0","2","2","9","4.5","0","0","4","5.2","1.3","0.7%"
"97","Darrynton Evans (CHI)","9","32","3.6","12","0","0","1","1","2","2.0","0","0","1","4.4","4.4","0.2%"
"98","C.J. Ham (MIN)","0","0","0","0","0","0","3","4","14","4.7","0","0","6","4.4","0.7","0.1%"
"99","Chase Brown (CIN)","2","6","3.0","4","0","0","3","3","7","2.3","0","0","5","4.3","0.9","0.8%"
"100","Elijah Dotson (LAC)","4","6","1.5","2","0","0","2","2","13","6.5","0","0","4","3.9","1.0","0.3%"
"101","Ke'Shawn Vaughn (TB)","15","25","1.7","8","0","0","1","3","3","3.0","0","0","2","3.8","1.9","0.8%"
"102","Keith Smith (ATL)","0","0","0","0","0","0","1","1","28","28.0","0","0","6","3.8","0.6","0.0%"
"103","Deon Jackson (NYG)","13","14","1.1","7","0","0","5","6","14","2.8","0","2","1","3.8","3.8","1.6%"
"104","Eric Gray (NYG)","13","27","2.1","8","0","0","1","1","1","1.0","0","0","6","3.8","0.6","0.2%"
"105","Trey Sermon (IND)","8","24","3.0","5","0","0","1","3","4","4.0","0","0","4","3.8","1.0","0.1%"
"106","Michael Burton (DEN)","3","5","1.7","3","0","0","1","1","3","3.0","0","0","6","3.8","0.6","0.0%"
"107","Patrick Ricard (BAL)","0","0","0","0","0","0","2","2","17","8.5","0","0","6","3.7","0.6","0.1%"
"108","Khari Blasingame (CHI)","8","26","3.3","6","0","0","1","2","1","1.0","0","0","6","3.7","0.6","0.1%"
"109","Cordarrelle Patterson (ATL)","1","0","0.0","0","0","0","2","2","13","6.5","0","0","3","3.3","1.1","2.7%"
"110","Jake Funk (MIA)","2","10","5.0","7","0","0","1","1","12","12.0","0","0","1","3.2","3.2","0.0%"
"111","Raheem Blackshear (CAR)","5","18","3.6","9","0","0","1","1","4","4.0","0","0","1","3.2","3.2","0.5%"
"112","Kenyan Drake (FA)","1","0","0.0","0","0","0","2","3","31","15.5","0","1","2","3.1","1.6","0.1%"
"113","Anthony McFarland Jr. (PIT)","0","0","0","0","0","0","2","2","11","5.5","0","0","1","3.1","3.1","0.1%"
"114","Zonovan Knight (DET)","3","13","4.3","8","0","0","1","1","8","8.0","0","0","2","3.1","1.6","0.3%"
"115","Chris Rodriguez Jr. (WAS)","7","30","4.3","13","0","0","0","0","0","0","0","0","4","3.0","0.8","0.3%"
"116","Emanuel Wilson (GB)","5","11","2.2","7","0","0","1","1","6","6.0","0","0","3","2.7","0.9","0.6%"
"117","Rashaad Penny (PHI)","3","9","3.0","6","0","0","1","1","5","5.0","0","0","1","2.4","2.4","15.6%"
"118","Devine Ozigbo (DET)","3","5","1.7","4","0","0","1","1","8","8.0","0","0","1","2.3","2.3","0.0%"
"119","Jakob Johnson (LV)","0","0","0","0","0","0","1","2","12","12.0","0","0","6","2.2","0.4","0.0%"
"120","Tyrion Davis-Price (SF)","6","21","3.5","15","0","0","0","0","0","0","0","0","1","2.1","2.1","0.1%"
"121","Chris Evans (CIN)","2","12","6.0","7","0","0","1","1","-1","-1.0","0","0","3","2.1","0.7","0.2%"
"122","Chase Edmonds (TB)","4","20","5.0","14","0","0","0","0","0","0","0","0","2","2.0","1.0","1.0%"
"123","Evan Hull (IND)","1","1","1.0","1","0","0","1","1","6","6.0","0","0","1","1.7","1.7","1.7%"
"124","Reggie Gilliam (BUF)","0","0","0","0","0","0","1","1","3","3.0","0","0","6","1.3","0.2","0.1%"
"125","Zach Evans (LAR)","4","10","2.5","3","0","0","0","0","0","0","0","0","1","1.0","1.0","19.5%"
"126","Dare Ogunbowale (HOU)","2","4","2.0","2","0","0","0","0","0","0","0","0","1","0.4","0.4","0.2%"
"127","Austin Walter (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"128","Chris Myarick (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"129","Derrick Gore (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"130","La'Mical Perine (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"131","Eno Benjamin (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"132","Qadree Ollison (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"133","Ty Johnson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"134","Patrick Laird (TB)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"135","Darrell Henderson Jr. (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","44.8%"
"136","Andrew Beck (HOU)","2","2","1.0","2","0","0","0","1","0","0","0","0","6","0.0","0.0","0.0%"
"137","Mike Weber (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"138","Travis Homer (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.2%"
"139","Jaret Patterson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"140","Mohamed Ibrahim (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"141","Demetric Felton Jr. (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"142","James Robinson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"143","JaMycal Hasty (JAC)","0","0","0","0","0","0","0","2","0","0","0","0","2","0.0","0.0","0.1%"
"144","Kirk Merritt (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"145","Jonathan Ward (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"146","Jermar Jefferson (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"147","Brittain Brown (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"148","Troy Hairston II (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"149","Julius Chestnut (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.1%"
"150","Tyler Badie (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"151","Hassan Haskins (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"152","Israel Abanikanda (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"153","Bryant Koback (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"154","Malik Davis (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"155","Owen Wright (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"156","Jordan Mims (NO)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"157","Deneric Prince (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"158","Levi Bell (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"159","Zavier Scott (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"160","Robert Burns (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"161","Jacob Saylors (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"162","Keaton Mitchell (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.9%"
"163","Xazavian Valladay (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"164","Kenny McIntosh (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"165","DeWayne McBride (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"166","Henry Pearson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"167","Derek Parish (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"168","Carlos Washington Jr. (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"169","Jack Colletto (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"170","SaRodorick Thompson Jr. (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"171","Lew Nichols III (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"172","Javian Hawkins (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"173","Sincere McCormick (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"174","Kene Nwangwu (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"175","Kevin Harris (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"176","Nate McCrary (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"177","Adam Prentice (NO)","1","5","5.0","5","0","0","1","2","5","5.0","0","1","5","0.0","0.0","0.0%"
"178","Gerrid Doaks (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"179","Avery Williams (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"180","Tyler Goodson (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"181","Jashaun Corbin (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"182","Snoop Conner (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"183","Nick Bellore (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.0%"
"184","Chad Spann (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"185","Jay Finley (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"186","Garrett Mills (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"187","Shane Bannon (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"188","Brandon Bolden (LV)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"189","Kenny Irons (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"190","Anthony Alridge (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"191","Dantrell Savage (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"192","Chad Simpson (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"193","Xavier Omon (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Samkon Gado (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"195","Madison Hedgecock (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Tarik Cohen (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"197","Corey Clement (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"198","Jeremy McNichols (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"199","Marlon Mack (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"200","Taquan Mizzell (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"201","Alex Armah Jr. (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"202","Dwayne Washington (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"203","J.P. Holtz (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"204","Jeff Wilson Jr. (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42.4%"
"205","Royce Freeman (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","20.1%"
"206","John Kelly Jr. (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"207","Jordan Wilkins (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"208","Jason Cabinda (DET)","1","0","0.0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"209","Godwin Igwebuike (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"210","Nyheim Hines (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"211","Myles Gaskin (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"212","Brennan Clay (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"213","Willie Carter (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"214","Tim Flanders (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
""
""